City,Location,URL
Kolkata,"Zoological Garden, Alipore","https://www.google.com/maps/place/Zoological+Garden+Alipore/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a027750fffffffd:0xdf99a9bbe613a36a!8m2!3d22.5370343!4d88.3316697!9m1!1b1!16s%2Fm%2F027_c5k?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"Central Park, Salt Lake, Kolkata","https://www.google.com/maps/place/Central+Park,+Salt+Lake/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0275c26a6f6081:0xc7311b22a8ad7bd3!8m2!3d22.5841807!4d88.4162347!9m1!1b1!16s%2Fg%2F1q5bml49_?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,East Calcutta Wetlands,"https://www.google.com/maps/place/East+Calcutta+Wetlands/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02749ea578e2f7:0xc39a9418f9692931!8m2!3d22.5528413!4d88.4500789!9m1!1b1!16zL20vMGd2OHg2?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"Millennium Park, Kolkata","https://www.google.com/maps/place/Millennium+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0277a2e8448a01:0xfc7031bafe756ae4!8m2!3d22.5728209!4d88.3445493!9m1!1b1!16zL20vMGJrZzc0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Eco Park,"https://www.google.com/maps/place/Eco+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a027544e22a5b6f:0xf22acb90ceebe765!8m2!3d22.6004077!4d88.4706037!9m1!1b1!16s%2Fm%2F0p3pdg5?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Nicco park,"https://www.google.com/maps/place/Nicco+park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0275b5f38c67df:0x842d73d378313791!8m2!3d22.5710541!4d88.4205078!9m1!1b1!16zL20vMGJiOTN6?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Nalban Park,"https://www.google.com/maps/place/Nalban+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0275ca38e8feb5:0xf6e2fc96bc581941!8m2!3d22.5683863!4d88.4308564!9m1!1b1!16s%2Fg%2F1tdzjzp9?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Rabindra Sarobar Lake,"https://www.google.com/maps/place/Rabindra+Sarobar/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02712a69e0c4ab:0x42adeb47a2d1245!8m2!3d22.5121451!4d88.3636952!9m1!1b1!16zL20vMGJrZzNx?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Subhas Sarobar Lake,"https://www.google.com/maps/place/Subhas+Sarovar/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02767f693adbb1:0xdc6e9b0fd6a35a7f!8m2!3d22.5683729!4d88.4006947!9m1!1b1!16s%2Fg%2F1vc_ns7f?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Sajnekhali Wildlife Sanctuary,"https://www.google.com/maps/place/Sajnekhali+Wildlife+Sanctuary/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0189712a4cda35:0xa7afc27f89eea4d8!8m2!3d22.1237762!4d88.8313005!9m1!1b1!16s%2Fm%2F027x5bm?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Bangalore,Vidhana Soudha,"https://www.google.com/maps/place/Vidhana+Soudha/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae1672094c0ca7:0xffa0605b3255e77d!8m2!3d12.9796033!4d77.5908529!9m1!1b1!16zL20vMDF0aHhf?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Bangalore,Tipu Sultan's Summer Palace,"https://www.google.com/maps/place/Tipu+Sultan's+Summer+Palace/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae15e4b434e601:0x1a69fbe395219f75!8m2!3d12.9593513!4d77.5736415!9m1!1b1!16s%2Fm%2F06wb67f?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Bangalore,Bengaluru Palace,"https://www.google.com/maps/place/Bengaluru+Palace/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae1649294a5637:0xb1f8b77e331512cf!8m2!3d13.0035068!4d77.5890953!9m1!1b1!16s%2Fm%2F02pf96d?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Bangalore,Bengaluru Fort,"https://www.google.com/maps/place/Bengaluru+Fort/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae15e3043a1d57:0xb2a4590209bde6d7!8m2!3d12.9628018!4d77.5758862!9m1!1b1!16s%2Fm%2F04zzyf_?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Bangalore,Freedom Park,"https://www.google.com/maps/place/Freedom+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae160d83bb995f:0x16f3a9801f4ae6b6!8m2!3d12.9779159!4d77.5821884!9m1!1b1!16s%2Fm%2F063zfq3?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Bangalore,Indian Music Experience Museum,"https://www.google.com/maps/place/Indian+Music+Experience+Museum/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae1547381aaaab:0xf35fb2e714520a68!8m2!3d12.8917819!4d77.5837108!9m1!1b1!16s%2Fg%2F11gcx6tp0n?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
