City,Location
Jaipur,Pratap Celebrity Wax Museum Jaipur
Jaipur,Anokhi Museum
Jaipur,Jawahar Kala Kendra
Jaisalmer,Jaisalmer Airport
Jaisalmer,Railway station Jaisalmer
Jaisalmer,RSRTC Bus stand
Jaisalmer,Private bus stand
Jaisalmer,Jaisalmer Fort
Jaisalmer,Kothari's Patwon Ki Haveli / Patwa Haveli
Jaisalmer,Nathmal Ki Haveli
Jaisalmer,Salam Singh Ki Haweli (Moti Mahal)
Jaisalmer,Bada Bagh
Jaisalmer,Vyas Chhatri
Jaisalmer,Kuldhara Heritage Village
Jaisalmer,Khaba fort
Jaisalmer,Thar desert sand dunes & camps
Jaisalmer,Gadisar Lake
Jaisalmer,Shri Tanot Mata Temple
Jaisalmer,Lodurva Parshwanatha Jain Temple
Jaisalmer,Thar Heritage Museum
Jaisalmer,Government Museum Jaisalmer
Jaisalmer,Longewala War Memorial
Jaisalmer,Heritage Mandir Palace
Jaisalmer,Desert Cultural Centre (puppet show)
Jaisalmer,Jaisalmer War Museum
Jodhpur,Jodhpur Airport
Jodhpur,Jodhpur Railway Station
Jodhpur,Bhagat Ki Kothi Railway Station
Jodhpur,Jodhpur Bus Stand (Raika Bagh)
Jodhpur,Mehrangarh Fort
Jodhpur,Umaid Bhawan Palace
Jodhpur,Jaswant Thada
Jodhpur,Ghanta Ghar Jodhpur
Jodhpur,Toorji Ka Jhalra Bavdi
Jodhpur,Sardar Government Museum
Jodhpur,Osiyan sacchiyay Mata Temple
Jodhpur,Mahamandir Temple
Jodhpur,Ganesh Temple Ratanada
Jodhpur,Kayalana Lake
Jodhpur,Masuria Hill Garden
Jodhpur,Mandore Garden
Kolkata,Airport (Netaji Subhash Chandra Bose International)
Kolkata,Babughat Bus Stand
Kolkata,Howrah Junction
Kolkata,Sealdah Railway station
Kolkata,Karunamoyee bus stand
Kolkata,Esplanade Bus Stop
Kolkata,Howrah Bridge
Kolkata,James Prinsep Monument
Kolkata,Victoria Memorial
Kolkata,Eden Gardens
Kolkata,Fort William
Kolkata,Dakshineswar Kali Temple
Kolkata,Belur Math
Kolkata,Pareshnath Jain Temple kolkata
Kolkata,Nakhoda Masjid
Kolkata,St. Paul's Cathedral
Kolkata,ISKCON Temple
Kolkata,Gurdwara Sant kutia
Kolkata,Birla Mandir
Kolkata,Kalighat Mandir Shaktipeeth
Kolkata,"The Basilica of the Holy Rosary, Bandel (Bandel Church)"
Kolkata,Science City - Kolkata
Kolkata,Kolkata Centre for Creativity
Kolkata,Jorasanko Thakurbari
Kolkata,Marble Palace
Kolkata,Metcalfe Hall
Kolkata,Indian Museum
Kolkata,Mother Teresa House (Missionaries of Charity)
Kolkata,"Nandan, West Bengal Film Centre & Academy of Fine Arts & Rabindra Sadan"
Kolkata,Nehru Children's Museum
Kolkata,M.P. Birla Planetarium
Kolkata,Netaji Bhawan
Kolkata,Birla Industrial & Technological Museum
Kolkata,Sarat Chandra Chattopadhyay Kuthi
Kolkata,Diamond Harbour River Side
Kolkata,"Indian Botanic Garden, Acharya Jagadish Chandra Bose "
Kolkata,"Zoological Garden, Alipore"
Kolkata,Rabindra Sarobar Lake
Kolkata,Subhash Sarobar Lake
Kolkata,Salt Lake Central Park
Kolkata,Eco Park
Kolkata,Nicco park
Kolkata,Nalban Park
Kolkata,East Calcutta Wetlands
Kolkata,Millennium Park
Kolkata,Kolkata River Cruise
Manali,Manali Bus Stand (HRTC Bus Stand)
Manali,Private Volvo Bus Stand
Manali,Shri Vashishtha Temple
Manali,Hadimba Devi Temple
Manali,Shri Anjani Mahadev Mandir
Manali,"Manu Temple, Old Manali"
Manali,"Buddhist Monastery, Gadhan Thekchhokling Gompa "
Manali,Himalayan Nyinmapa Buddhist Monastery
Manali,Mall Road Market
Manali,Rohtang La
Manali,Solang Valley
Manali,Hampta Pass Trek
Manali,Jogini Falls
Manali,Nehru Kund
Manali,Bhrigu Lake
Manali,Manali wildlife sanctuary
Manali,Van Vihar National Park
Manali,Naggar Castle
Mathura Vrindavan,"Prem Mandir, Vrindavan"
Mathura Vrindavan,Sri Sri Krishna Balaram Mandir (ISKCON Vrindavan)
Mathura Vrindavan,Shri Krishna Janmasthan
Mathura Vrindavan,"Shri Dwarkadhish Temple, Mathura"
Mathura Vrindavan,Birla Gita Temple
Mathura Vrindavan,"Shri Banke Bihari Temple, Vrindavan"
Mathura Vrindavan,"Shri Radha Raman Temple, Vrindavan"
Mathura Vrindavan,"Shri Radha Rani Temple, Barsana"
Mathura Vrindavan,Rangnath Mandir (Shri Rangji Mandir)
Mathura Vrindavan,Vrindavan Chandrodaya Mandir
Mathura Vrindavan,"Shri Pagal Baba Temple, Vrindavan"
Mathura Vrindavan,"Maa Vaishno Devi Dham, Vrindavan"
Mathura Vrindavan,Gokul Dham
Mathura Vrindavan,"Shri Nand Baba Temple, Nandgaon"
Mathura Vrindavan,Shri Shani Mandir Kokilavan
Mathura Vrindavan,Mathura Chaurasi Digamber Jain Temple
Mathura Vrindavan,Shri Raman Bihariji Mandir
Mathura Vrindavan,"Government Museum, Mathura"
Mathura Vrindavan,"Kans Quila, Mathura"
Mathura Vrindavan,Yamuna river
Mathura Vrindavan,Vishram Ghat
Mathura Vrindavan,Keshi Ghat
Mathura Vrindavan,Nidhivan
Mathura Vrindavan,Seva Kunj
Mathura Vrindavan,Govardhan hill
Mathura Vrindavan,"Potra Kund, Mathura"
Mathura Vrindavan,Radha Kund & Shyam Kund
Mathura Vrindavan,"Kusum Sarovar, Govardhan"
Mathura Vrindavan,Mathura Junction
Mathura Vrindavan,Mathura Cantt
Mathura Vrindavan,New Bus Stand
Mathura Vrindavan,"Bus Stand, Govardhan"
Mathura Vrindavan,Vrindavan Bus Stand
Mumbai,Airport Terminal 2 (Chhatrapati Shivaji Maharaj International)
Mumbai,Airport Terminal 1 (Chhatrapati Shivaji Maharaj International)
Mumbai,Bandra Terminus
Mumbai,Lokmanya Tilak Terminus (LTT)
Mumbai,Dadar Railway Station
Mumbai,Mumbai Central Railway Station
Mumbai,Chhatrapati Shivaji Maharaj Terminus
Mumbai,Kurla Nehru Nagar ST 
Mumbai,Mumbai Central Bus Depot [MSRTC]
Mumbai,MSRTC Shivneri Bus stand Dadar
Mumbai,MSRTC Bus stand Thane - Vandana
Mumbai,Borivali Nancy Colony Bus Stand
Mumbai,Dukaan Borivali East
Mumbai,Elephanta Caves
Mumbai,Kanheri Caves
Mumbai,Vasai Fort
Mumbai,Jogeshwari Caves
Mumbai,Madh Fort
Mumbai,Bandra Fort
Mumbai,Flora Fountain
Mumbai,Gateway Of India
Mumbai,Shivadi fort and Flamingo Point
Mumbai,Bandra Worli Sea Link Bridge
Mumbai,Marine Drive
Mumbai,Global Vipassana Pagoda
