place_name,place_url,reviews_count,scraped_on
"National Museum, New Delhi","https://www.google.com/maps/place/National+Museum,+New+Delhi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfd52c71ff0eb:0x20429f292fa5eecf!8m2!3d28.6119078!4d77.2192909!9m1!1b1!16zL20vMGMzenJq?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:58:01
National Rail Museum,"https://www.google.com/maps/place/National+Rail+Museum/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390d1d7021a0de89:0xdb46d0593f9caa02!8m2!3d28.5849873!4d77.1814107!9m1!1b1!16s%2Fm%2F027y1d8?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:58:46
Sulabh International Museum Of Toilets,"https://www.google.com/maps/place/Sulabh+International+Museum+Of+Toilets/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce2c8109d9791:0x1763f10a1df01856!8m2!3d28.5966393!4d77.0808245!9m1!1b1!16s%2Fm%2F012sn66q?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:59:39
Sanskriti Kendra,"https://www.google.com/maps/place/Sanskriti+Kendra,+Aya+Nagar,+Delhi/@28.4851623,77.1254606,17z/data=!4m8!3m7!1s0x390d015555555555:0xa5f5b9e4986fd9c3!8m2!3d28.4851576!4d77.1280355!9m1!1b1!16s%2Fm%2F03ynxsh?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:00:23
"Indira Gandhi Memorial Museum, Delhi","https://www.google.com/maps/place/Indira+Gandhi+Memorial+Museum/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce2bd534f071f:0x7d7c189e40032027!8m2!3d28.5998927!4d77.2060499!9m1!1b1!16s%2Fg%2F1yl48k7pk?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:01:08
Nehru Planetarium,"https://www.google.com/maps/place/Nehru+Planetarium,+New+Delhi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce2a138a37f7f:0xac737507d2cef84a!8m2!3d28.6039504!4d77.1980973!9m1!1b1!16s%2Fg%2F1z44s4t6c?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:01:56
Prime minister Museum & Library,"https://www.google.com/maps/place/Prime+Minister's+Museum+%26+Library/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce2a11546d1d9:0x27b4ffb8f1e8cd6d!8m2!3d28.6026399!4d77.1987706!9m1!1b1!16s%2Fm%2F0ds112q?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:02:39
Museum of Illusions,"https://www.google.com/maps/place/Museum+of+Illusions/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfd96788ff6db:0x2ab0c17c3b8f568c!8m2!3d28.6332086!4d77.2179489!9m1!1b1!16s%2Fg%2F11mvw8dcl_?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:03:23
National Zoological Park,"https://www.google.com/maps/place/National+Zoological+Park,+New+Delhi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce318a027dbb9:0xf12a1c6b59580448!8m2!3d28.6062122!4d77.2452445!9m1!1b1!16s%2Fm%2F04n1lkq?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:04:09
Lodhi Garden,"https://www.google.com/maps/place/Lodhi+Garden/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce2ececc92e35:0x86c0764b1c0d4bea!8m2!3d28.5930959!4d77.2196794!9m1!1b1!16zL20vMDRfOHF0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 21:04:54
