MongoDB_Location,AppSheet_Location
Kacheguda Railway Station,Kacheguda Railway Station
Charminar,Charminar
Chowmahalla Palace,Chowmahalla Palace
Golconda Fort,Golconda Fort
Qutub Shahi Tombs,Qutub Shahi Tombs
Bhuvanagiri Fort,Bhuvanagiri Fort
Buddha statue in Hussain Sagar,Buddha statue in Hussain Sagar
B.M. Birla Science Center,B.M. Birla Science Center
Telangana State Archaeology Museum,Telangana State Archaeology Museum
Shilparamam,Shilparamam
Salar Jung Museum,Salar Jung Museum
The Nizam's Museum,The Nizam's Museum
Ramoji Film City,Ramoji Film City
Kalakriti Art Gallery,Kalakriti Art Gallery
Falaknuma Palace,Falaknuma Palace
Sri Chilkur Balaji Temple,Sri Chilkur Balaji Temple
Sri Peddamma Talli Temple,Sri Peddamma Talli Temple
"Sri Jagannath Mandir, Banjara Hills","Sri Jagannath Mandir, Banjara Hills"
Birla Mandir,"Birla Mandir, Kolkata"
"Gurudwara Saheb, Ameerpet","Gurudwara Saheb, Ameerpet"
ISKCON - Sri Sri Radha Madan Mohan Temple,ISKCON - Sri Sri Radha Madan Mohan Temple
St Joseph's Cathedral,St Joseph's Cathedral
Makkah Masjid,Makkah Masjid
Keesaragutta Sri Rama Lingeshwara Swamy Temple,Keesaragutta Sri Rama Lingeshwara Swamy Temple
Yadadri Sri Lakshmi Narasimha Swamy Devastanam,Yadadri Sri Lakshmi Narasimha Swamy Devastanam
C.S.I All Saints' Church,C.S.I All Saints' Church
C.S.I Medak Cathedral,C.S.I Medak Cathedral
Shri Shirdi Sai Baba Sansthan Trust,Shri Shirdi Sai Baba Sansthan Trust
Sri Karmanghat Hanuman Devastanam,Sri Karmanghat Hanuman Devastanam
Sri Bhramaramba Mallikarjuna Swamy varla Devasthanam,Sri Bhramaramba Mallikarjuna Swamy varla Devasthanam
Kanha Shanti Vanam,Kanha Shanti Vanam
Sanghi Temple,Sanghi Temple
Osman Sagar,Osman Sagar
Himayat Sagar Lake,Himayat Sagar Lake
Nehru Zoological Park,Nehru Zoological Park
Sri Kotla Vijaybhaskar Reddy Botanical Garden,Sri Kotla Vijaybhaskar Reddy Botanical Garden
Gandipet Landscape Park,Gandipet Landscape Park
Durgam Cheruvu Secret Lake,Durgam Cheruvu Secret Lake
Lumbini Park,Lumbini Park
NTR Gardens,NTR Gardens
Sanjeevaiah Children's Park,Sanjeevaiah Children's Park
Indira Park,Indira Park
Safilguda Lake Park,Safilguda Lake Park
Shamirpet lake Deer Park,Shamirpet lake Deer Park
Kasu Brahmanandha Reddy National Park (KBR),Kasu Brahmanandha Reddy National Park (KBR)
Lotus Pond,Lotus Pond
Krishna Kanth Park,Krishna Kanth Park
Jaipur International Airport,Jaipur International Airport
Sindhi Camp Bus Station,Sindhi Camp Bus Station
Jaipur Junction,Jaipur Junction
Gandhi Nagar Railway Station,Gandhi Nagar Railway Station
Durgapura Railway Station,Durgapura Railway Station
(NSC) Narayan Singh Circle Bus Stand ,(NSC) Narayan Singh Circle Bus Stand
Hawa Mahal,Hawa Mahal
Amber Palace,Amber Palace
The City Palace,The City Palace
Jaigarh Fort,Jaigarh Fort
Nahargarh Fort,Nahargarh Fort
Jal Mahal (Man Sagar Lake),Jal Mahal (Man Sagar Lake)
Gaitor Ki Chhatriyan,Gaitor Ki Chhatriyan
Patrika Gate (Jawahar Circle),Patrika Gate (Jawahar Circle)
Bhangarh Fort,Bhangarh Fort
Panna Meena ka Kund,Panna Meena ka Kund
Chand Baori,Chand Baori
Shakambari Jheel,Shakambari Jheel
Jhalana Leopard Safari Park,Jhalana Leopard Safari Park
Central Park,Central Park
Amar Jawan Jyoti,Amar Jawan Jyoti
Kanak Vrindavan Park,Kanak Vrindavan Park
Sisodia Rani ka Bagh & Vidyadhar Bagh,Sisodia Rani ka Bagh & Vidyadhar Bagh
Nahargarh Biological Park,Nahargarh Biological Park
"Govind Dev Ji Temple, Thikana mandir","Govind Dev Ji Temple, Thikana mandir"
Moti Dungri Ganesh Ji Temple,Moti Dungri Ganesh Ji Temple
Galta Ji Temple (Monkey Temple),Galta Ji Temple (Monkey Temple)
Shree Khole Ke Hanuman Ji Temple,Shree Khole Ke Hanuman Ji Temple
"Jain Temple Sanghi Ji, Sanganer .","Jain Temple Sanghi Ji, Sanganer."
Shri Guru Singh Sabha Gurudwara,Shri Guru Singh Sabha Gurudwara
Shri garh ganesh ji temple,Shri garh ganesh ji temple
"ISKCON Temple, Jaipur","ISKCON Temple, Jaipur"
Shri Jagat Shiromani ji Temple,Shri Jagat Shiromani ji Temple
Chulgiri Jain Thirth,Chulgiri Jain Thirth
Mehandipur Balaji,Mehandipur Balaji
Albert Hall Museum,Albert Hall Museum
Pratap Celebrity Wax Museum Jaipur,Pratap Celebrity Wax Museum Jaipur
Anokhi Museum,Anokhi Museum
Jawahar Kala Kendra,Jawahar Kala Kendra
Jaisalmer Airport,Jaisalmer Airport
Railway station Jaisalmer,Railway station Jaisalmer
RSRTC Bus stand,RSRTC Bus stand
Private bus stand,Private bus stand
Jaisalmer Fort,Jaisalmer Fort
Kothari's Patwon Ki Haveli / Patwa Haveli,Kothari's Patwon Ki Haveli / Patwa Haveli
Nathmal Ki Haveli,Nathmal Ki Haveli
Salam Singh Ki Haweli (Moti Mahal),Salam Singh Ki Haweli (Moti Mahal)
Bada Bagh,Bada Bagh
Vyas Chhatri,Vyas Chhatri
Kuldhara Heritage Village,Kuldhara Heritage Village
Khaba fort,Khaba fort
Thar desert sand dunes & camps,Thar desert sand dunes & camps
Gadisar Lake,Gadisar Lake
Shri Tanot Mata Temple,Shri Tanot Mata Temple
Lodurva Parshwanatha Jain Temple,Lodurva Parshwanatha Jain Temple
Thar Heritage Museum,Thar Heritage Museum
Government Museum Jaisalmer,Government Museum Jaisalmer
Longewala War Memorial,Longewala War Memorial
Heritage Mandir Palace,Heritage Mandir Palace
Desert Cultural Centre (puppet show),Desert Cultural Centre (puppet show)
Jaisalmer War Museum,Jaisalmer War Museum
Jodhpur Airport,Jodhpur Airport
Jodhpur Railway Station,Jodhpur Railway Station
Bhagat Ki Kothi Railway Station,Bhagat Ki Kothi Railway Station
Jodhpur Bus Stand (Raika Bagh),Jodhpur Bus Stand (Raika Bagh)
Mehrangarh Fort,Mehrangarh Fort
Umaid Bhawan Palace,Umaid Bhawan Palace
Jaswant Thada,Jaswant Thada
Ghanta Ghar Jodhpur,Ghanta Ghar Jodhpur
Toorji Ka Jhalra Bavdi,Toorji Ka Jhalra Bavdi
Sardar Government Museum,Sardar Government Museum
Osiyan sacchiyay Mata Temple,Osiyan sacchiyay Mata Temple
Mahamandir Temple,Mahamandir Temple
Ganesh Temple Ratanada,Ganesh Temple Ratanada
Kayalana Lake,Kayalana Lake
Masuria Hill Garden,Masuria Hill Garden
Mandore Garden,Mandore Garden
Airport (Netaji Subhash Chandra Bose International),Netaji Subhash Chandra Bose International Airport
Babughat Bus Stand,Babughat Bus Stand
Howrah Junction,Howrah Junction
Sealdah Railway station,Sealdah Railway station
Karunamoyee bus stand,Karunamoyee bus stand
Esplanade Bus Stop,Esplanade Bus Stop
Howrah Bridge,Howrah Bridge
James Prinsep Monument,James Prinsep Monument
Victoria Memorial,Victoria Memorial
Eden Gardens,Eden Gardens
Dakshineswar Kali Temple,Dakshineswar Temple
Belur Math,Belur Math
Pareshnath Jain Temple kolkata,Pareshnath Jain Temple kolkata
Nakhoda Masjid,Nakhoda Masjid
St. Paul's Cathedral,St. Paul Cathedral Church
Gurdwara Sant kutia,Gurdwara Sant kutiya
